elapsed_s,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,ACCELERATOR_PEDAL_POSITION_D,ACCELERATOR_PEDAL_POSITION_E,COMMANDED_THROTTLE_ACTUATOR,INTAKE_AIR_TEMPERATURE,TIMING_ADVANCE,CONTROL_MODULE_VOLTAGE
0,895.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
1,901.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
2,897.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
3,902.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
4,907.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
5,908.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
6,902.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
7,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
8,900.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
9,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
10,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
11,900.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
12,899.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
13,900.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
14,896.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
15,897.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
16,896.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
17,899.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
18,890.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
19,893.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
20,890.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
21,886.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
22,886.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
23,909.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
24,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
25,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
26,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
27,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
28,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
29,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
30,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
31,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
32,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
33,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
34,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
35,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
36,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
37,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
38,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
39,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
40,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
41,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
42,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
43,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
44,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
45,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
46,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
47,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
48,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
49,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
50,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
51,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
52,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
53,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
54,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
55,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
56,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
57,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
58,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
59,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
60,897.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.4
61,897.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
62,896.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
63,901.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
64,901.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
65,904.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
66,901.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,2.5,13.5
67,901.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,2.5,13.5
68,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,2.34375,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.0,13.5
69,907.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,0.78125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
70,907.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,3.125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
71,901.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,3.125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
72,900.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,3.125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.4
73,900.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,3.125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,4.5,13.5
74,903.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,1.5625,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
75,900.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,3.125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.6
76,900.0,0.0,20.392156862745097,49.41176470588236,108.0,-9.375,3.125,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.6
