timestamp_ms,datetime,ENGINE_RPM,ENGINE_LOAD,INTAKE_MANIFOLD_PRESSURE,MASS_AIR_FLOW,COOLANT_TEMPERATURE,INTAKE_AIR_TEMP,SHORT_TERM_FUEL_TRIM_BANK_1,LONG_TERM_FUEL_TRIM_BANK_1,TIMING_ADVANCE,VEHICLE_SPEED,THROTTLE,FUEL_AIR_COMMANDED_EQUIV_RATIO,CONTROL_MODULE_VOLTAGE,ABSOLUTE_BAROMETRIC_PRESSURE,ENGINE_RUN_TIME,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,RELATIVE_THROTTLE_POSITION,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,COMMANDED_EVAPORATIVE_PURGE
1781985573452,2026-06-20 22:59:33.452,3026.500,63.922,,16.670,100.000,29.000,2.344,-8.594,33.000,110.000,21.176,1.010,13.613,93.000,5111.000,,56.078,20.784,36.078,25.098,6.275,686.200,686.200,76.471
1781985576267,2026-06-20 22:59:36.267,2940.500,46.275,,11.780,100.000,30.000,1.563,-3.906,28.000,107.000,30.196,1.001,13.574,93.000,5114.000,,67.451,27.843,42.745,34.902,17.255,686.500,686.500,100.000
1781985579145,2026-06-20 22:59:39.145,2947.500,93.725,,31.730,100.000,29.000,-2.344,-3.906,13.500,107.000,41.961,1.001,13.574,93.000,5117.000,,81.176,32.941,47.843,43.529,23.922,699.800,699.800,100.000
1781985582145,2026-06-20 22:59:42.145,3021.000,96.471,,35.120,101.000,29.000,3.906,-3.906,10.500,111.000,39.216,1.001,13.574,93.000,5120.000,,74.118,28.235,43.137,34.510,15.294,726.600,726.600,100.000
1781985585172,2026-06-20 22:59:45.172,3078.000,83.529,,28.930,101.000,29.000,-2.344,-3.906,15.000,113.000,34.510,1.001,13.554,93.000,5123.000,,73.725,29.412,44.706,41.176,21.961,745.600,745.600,100.000
1781985588115,2026-06-20 22:59:48.115,3111.500,94.902,,34.560,101.000,29.000,3.906,-3.906,12.000,113.000,41.176,1.001,13.554,93.000,5126.000,,55.294,16.078,31.765,21.569,2.353,758.400,758.400,0.000
1781985590994,2026-06-20 22:59:50.994,2886.500,29.020,,5.420,102.000,29.000,0.000,-8.594,30.000,112.000,20.784,1.043,13.613,93.000,5129.000,,53.333,16.078,31.765,20.784,1.569,756.300,753.700,0.000
1781985593892,2026-06-20 22:59:53.892,2840.500,26.275,,4.180,101.000,30.000,0.000,-8.594,28.000,108.000,20.000,1.082,13.613,93.000,5132.000,,52.941,16.078,31.765,20.000,1.176,746.100,746.100,0.000
1781985596815,2026-06-20 22:59:56.815,2819.500,39.608,,9.000,101.000,30.000,0.781,-7.031,0.500,104.000,27.059,1.001,13.574,93.000,5135.000,,65.882,25.490,40.392,30.196,11.373,733.000,733.000,52.941
1781985599726,2026-06-20 22:59:59.726,2855.250,80.392,,21.710,100.000,30.000,0.781,-3.906,24.000,104.000,30.588,1.001,13.554,93.000,5137.000,,65.490,25.490,40.784,30.196,10.980,727.600,727.600,100.000
1781985602574,2026-06-20 23:00:02.574,2873.250,77.647,,19.810,100.000,30.000,3.125,-6.250,31.500,106.000,21.961,1.000,13.613,93.000,5140.000,,54.118,16.078,31.765,20.784,1.569,721.000,721.000,0.000
1781985605588,2026-06-20 23:00:05.588,2545.250,27.451,,10.180,100.000,30.000,2.344,-5.469,34.000,102.000,28.235,1.001,13.574,93.000,5143.000,,62.745,23.922,38.824,26.275,6.275,714.500,711.400,70.196
1781985608560,2026-06-20 23:00:08.560,2767.000,47.843,,11.370,100.000,30.000,3.906,-7.031,35.500,101.000,25.882,1.001,13.574,93.000,5146.000,,62.353,24.706,40.000,28.627,9.412,705.100,705.100,100.000
1781985611487,2026-06-20 23:00:11.487,2769.500,70.980,,16.930,100.000,30.000,2.344,-3.906,28.500,102.000,29.412,1.001,13.574,93.000,5149.000,,63.529,25.098,40.000,28.627,9.804,700.300,700.300,100.000
1781985614425,2026-06-20 23:00:14.425,2792.000,74.902,,28.950,100.000,30.000,-3.125,-3.906,11.500,104.000,39.216,1.001,13.574,93.000,5152.000,,70.980,29.020,43.922,34.902,15.686,706.700,706.700,88.235
1781985617489,2026-06-20 23:00:17.489,2849.000,76.471,,19.820,100.000,29.000,-3.906,-3.906,27.500,105.000,34.510,1.001,13.554,93.000,5155.000,,73.725,29.804,44.706,37.647,18.431,717.700,717.700,100.000
1781985620249,2026-06-20 23:00:20.249,2877.250,91.373,,27.820,101.000,29.000,-3.125,-3.906,15.500,105.000,35.686,1.001,13.574,93.000,5158.000,,74.118,29.412,44.706,36.863,17.255,727.100,732.000,99.216
1781985623307,2026-06-20 23:00:23.307,2931.250,85.882,,28.290,101.000,29.000,-3.906,-3.906,26.000,107.000,30.588,1.001,13.574,93.000,5160.000,,65.882,25.882,41.176,30.980,12.941,738.200,738.200,100.000
1781985626173,2026-06-20 23:00:26.173,2966.250,89.020,,27.170,101.000,29.000,2.344,-3.906,14.000,110.000,38.431,1.001,13.574,93.000,5164.000,,76.863,32.157,48.235,44.314,25.882,747.200,747.200,100.000
1781985629144,2026-06-20 23:00:29.144,3043.750,98.824,,37.480,101.000,29.000,4.688,-3.906,11.500,111.000,53.333,1.001,13.554,93.000,5166.000,,94.510,38.824,53.725,53.725,34.510,761.800,761.800,100.000
1781985632201,2026-06-20 23:00:32.201,3109.250,99.608,,36.480,101.000,29.000,4.688,-3.906,11.500,114.000,51.373,1.001,13.574,93.000,5169.000,,93.333,37.255,50.980,47.451,27.843,775.700,775.700,100.000
1781985635142,2026-06-20 23:00:35.142,3167.000,95.294,,31.590,102.000,29.000,-3.906,-3.906,35.500,117.000,24.314,1.001,13.593,93.000,5172.000,,57.255,21.961,36.863,25.882,7.059,776.400,776.400,36.471
1781985638014,2026-06-20 23:00:38.014,3215.500,57.647,,22.620,102.000,30.000,-2.344,-3.906,29.500,114.000,36.471,1.001,13.574,93.000,5175.000,,80.000,32.157,47.059,41.961,23.137,772.500,772.600,100.000
1781985640903,2026-06-20 23:00:40.903,3156.250,97.255,,37.500,102.000,29.000,3.906,-3.906,11.500,115.000,50.196,1.001,13.574,93.000,5178.000,,90.196,36.863,51.765,49.804,30.588,776.300,776.300,100.000
1781985643738,2026-06-20 23:00:43.738,3260.000,97.647,,37.890,102.000,29.000,-0.781,-3.906,12.000,118.000,42.745,1.066,13.574,93.000,5181.000,,79.608,30.980,44.706,37.255,18.039,784.600,784.600,0.000
1781985646639,2026-06-20 23:00:46.639,3324.000,78.431,,28.500,103.000,29.000,0.000,-3.906,20.000,121.000,32.941,1.000,13.574,93.000,5184.000,,69.020,28.235,43.922,36.078,17.255,786.200,786.200,41.176
