timestamp_ms,datetime,ENGINE_RPM,ENGINE_LOAD,INTAKE_MANIFOLD_PRESSURE,MASS_AIR_FLOW,COOLANT_TEMPERATURE,INTAKE_AIR_TEMP,SHORT_TERM_FUEL_TRIM_BANK_1,LONG_TERM_FUEL_TRIM_BANK_1,TIMING_ADVANCE,VEHICLE_SPEED,THROTTLE,FUEL_AIR_COMMANDED_EQUIV_RATIO,CONTROL_MODULE_VOLTAGE,ABSOLUTE_BAROMETRIC_PRESSURE,ENGINE_RUN_TIME,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,RELATIVE_THROTTLE_POSITION,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,COMMANDED_EVAPORATIVE_PURGE
1782724595326,2026-06-29 12:16:35.326,905.250,52.549,,3.680,110.000,61.000,3.125,-9.375,4.000,0.000,20.392,1.001,13.359,90.000,5735.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,45.882
1782724598135,2026-06-29 12:16:38.135,899.000,52.941,,3.650,110.000,61.000,1.563,-9.375,4.500,0.000,20.392,1.001,13.359,90.000,5738.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,46.275
1782724601004,2026-06-29 12:16:41.004,896.000,52.941,,3.650,110.000,61.000,2.344,-9.375,4.500,0.000,20.392,1.001,13.339,90.000,5741.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,46.275
1782724603838,2026-06-29 12:16:43.838,888.250,52.941,,3.670,110.000,61.000,3.125,-9.375,3.000,0.000,20.392,1.001,13.339,90.000,5744.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,45.882
1782724606804,2026-06-29 12:16:46.804,885.000,52.941,,3.670,110.000,61.000,0.781,-9.375,4.500,0.000,20.392,1.001,13.339,90.000,5747.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,46.667
1782724609791,2026-06-29 12:16:49.791,892.750,52.941,,3.670,110.000,61.000,3.125,-9.375,3.500,0.000,20.392,1.001,13.339,90.000,5750.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,46.275
1782724612793,2026-06-29 12:16:52.793,897.500,52.549,,3.650,110.000,61.000,1.563,-9.375,4.500,0.000,20.392,1.001,13.339,90.000,5753.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,46.667
1782724615676,2026-06-29 12:16:55.676,895.250,52.941,,3.670,110.000,61.000,3.125,-9.375,3.500,0.000,20.392,1.001,13.339,90.000,5756.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,46.275
1782724618489,2026-06-29 12:16:58.489,897.500,52.941,,3.670,110.000,61.000,3.906,-9.375,3.500,0.000,20.392,1.001,13.339,90.000,5758.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,46.275
1782724621492,2026-06-29 12:17:01.492,888.250,52.941,,3.670,110.000,61.000,2.344,-9.375,4.000,0.000,20.392,1.001,13.359,90.000,5761.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,46.275
1782724624348,2026-06-29 12:17:04.348,890.500,52.941,,3.680,110.000,61.000,3.125,-9.375,3.500,0.000,20.392,1.001,13.339,90.000,5764.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,46.275
1782724627332,2026-06-29 12:17:07.332,889.000,52.941,,3.670,110.000,61.000,0.781,-9.375,3.500,0.000,20.392,1.001,13.359,90.000,5767.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,46.275
1782724630234,2026-06-29 12:17:10.234,892.750,52.941,,3.620,110.000,61.000,2.344,-9.375,3.500,0.000,20.392,1.001,13.339,90.000,5770.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,46.275
1782724633115,2026-06-29 12:17:13.115,904.500,52.549,,3.670,110.000,61.000,3.906,-9.375,3.000,0.000,20.392,1.001,13.359,90.000,5773.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,45.490
1782724635976,2026-06-29 12:17:15.976,897.500,52.549,,3.670,110.000,61.000,2.344,-9.375,4.500,0.000,20.392,1.001,13.339,90.000,5776.000,,52.941,16.078,31.765,20.392,1.176,430.000,430.000,45.490
