ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,ACCELERATOR_PEDAL_POSITION_D,ACCELERATOR_PEDAL_POSITION_E,COMMANDED_THROTTLE_ACTUATOR,INTAKE_AIR_TEMPERATURE,TIMING_ADVANCE,CONTROL_MODULE_VOLTAGE
671.0,5.0,19.216,45.882,83.0,-3.906,0.781,,16.078,31.765,19.216,42.0,4.5,13.554
671.0,5.0,19.216,45.882,83.0,-3.906,0.781,,16.078,31.765,19.216,42.0,4.5,13.554
671.0,5.0,19.216,45.882,83.0,-3.906,0.781,,16.078,31.765,19.216,42.0,4.5,13.554
671.75,3.0,19.216,46.275,83.0,-3.906,-3.125,,16.078,31.765,19.216,42.0,6.5,13.554
671.75,3.0,19.216,46.275,83.0,-3.906,-3.125,,16.078,31.765,19.216,42.0,6.5,13.554
671.75,3.0,19.216,46.275,83.0,-3.906,-3.125,,16.078,31.765,19.216,42.0,6.5,13.554
655.25,3.0,19.216,46.667,83.0,-3.906,-2.344,,16.078,31.765,19.216,42.0,5.5,13.535
655.25,3.0,19.216,46.667,83.0,-3.906,-2.344,,16.078,31.765,19.216,42.0,5.5,13.535
655.25,3.0,19.216,46.667,83.0,-3.906,-2.344,,16.078,31.765,19.216,42.0,5.5,13.535
607.0,0.0,19.216,49.412,83.0,-3.906,-2.344,,16.078,31.765,19.216,42.0,1.5,13.535
607.0,0.0,19.216,49.412,83.0,-3.906,-2.344,,16.078,31.765,19.216,42.0,1.5,13.535
655.25,0.0,19.216,47.843,84.0,-3.906,-3.125,,16.078,31.765,19.608,42.0,5.5,13.496
655.25,0.0,19.216,47.843,84.0,-3.906,-3.125,,16.078,31.765,19.608,42.0,5.5,13.496
655.25,0.0,19.216,47.843,84.0,-3.906,-3.125,,16.078,31.765,19.608,42.0,5.5,13.496
692.75,0.0,19.608,49.02,84.0,-3.906,-1.563,,18.431,34.118,19.608,42.0,2.5,13.515
692.75,0.0,19.608,49.02,84.0,-3.906,-1.563,,18.431,34.118,19.608,42.0,2.5,13.515
692.75,0.0,19.608,49.02,84.0,-3.906,-1.563,,18.431,34.118,19.608,42.0,2.5,13.515
714.0,4.0,19.216,47.843,84.0,-3.906,0.0,,18.431,34.118,19.216,42.0,4.5,13.554
714.0,4.0,19.216,47.843,84.0,-3.906,0.0,,18.431,34.118,19.216,42.0,4.5,13.554
714.0,4.0,19.216,47.843,84.0,-3.906,0.0,,18.431,34.118,19.216,42.0,4.5,13.554
707.75,6.0,19.216,45.098,85.0,-3.906,2.344,,18.824,34.51,19.216,42.0,4.5,13.554
707.75,6.0,19.216,45.098,85.0,-3.906,2.344,,18.824,34.51,19.216,42.0,4.5,13.554
707.75,6.0,19.216,45.098,85.0,-3.906,2.344,,18.824,34.51,19.216,42.0,4.5,13.554
969.5,5.0,23.922,56.471,85.0,-6.25,0.0,,27.843,43.137,25.882,42.0,18.0,13.613
969.5,5.0,23.922,56.471,85.0,-6.25,0.0,,27.843,43.137,25.882,42.0,18.0,13.613
969.5,5.0,23.922,56.471,85.0,-6.25,0.0,,27.843,43.137,25.882,42.0,18.0,13.613
1560.75,7.0,25.49,80.0,85.0,-6.25,-2.344,,24.706,40.0,22.745,41.0,14.5,13.632
1560.75,7.0,25.49,80.0,85.0,-6.25,-2.344,,24.706,40.0,22.745,41.0,14.5,13.632
1560.75,7.0,25.49,80.0,85.0,-6.25,-2.344,,24.706,40.0,22.745,41.0,14.5,13.632
1362.5,6.0,24.706,76.863,85.0,-5.469,-3.125,,23.922,38.824,20.784,41.0,19.0,13.632
1362.5,6.0,24.706,76.863,85.0,-5.469,-3.125,,23.922,38.824,20.784,41.0,19.0,13.632
1362.5,6.0,24.706,76.863,85.0,-5.469,-3.125,,23.922,38.824,20.784,41.0,19.0,13.632
1001.5,3.0,19.608,58.039,86.0,-5.469,1.563,,16.078,31.765,19.216,41.0,18.5,13.593
1001.5,3.0,19.608,58.039,86.0,-5.469,1.563,,16.078,31.765,19.216,41.0,18.5,13.593
