ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,ACCELERATOR_PEDAL_POSITION_D,ACCELERATOR_PEDAL_POSITION_E,COMMANDED_THROTTLE_ACTUATOR,INTAKE_AIR_TEMPERATURE,TIMING_ADVANCE,CONTROL_MODULE_VOLTAGE
1235.0,0.0,21.569,50.98,37.0,-9.375,0.0,,16.078,31.765,21.569,31.0,0.5,13.691
1235.0,0.0,21.569,50.98,37.0,-9.375,0.0,,16.078,31.765,21.569,31.0,0.5,13.691
1235.0,0.0,21.569,50.98,37.0,-9.375,0.0,,16.078,31.765,21.569,31.0,0.5,13.691
1244.5,0.0,21.569,49.804,38.0,-9.375,-3.125,,16.078,31.765,21.569,31.0,1.5,13.691
1244.5,0.0,21.569,49.804,38.0,-9.375,-3.125,,16.078,31.765,21.569,31.0,1.5,13.691
1244.5,0.0,21.569,49.804,38.0,-9.375,-3.125,,16.078,31.765,21.569,31.0,1.5,13.691
1189.75,0.0,21.176,50.196,38.0,-9.375,-4.688,,16.078,31.765,21.176,31.0,1.5,13.691
1189.75,0.0,21.176,50.196,38.0,-9.375,-4.688,,16.078,31.765,21.176,31.0,1.5,13.691
1189.75,0.0,21.176,50.196,38.0,-9.375,-4.688,,16.078,31.765,21.176,31.0,1.5,13.691
1127.25,0.0,21.176,50.196,39.0,-9.375,-5.469,,16.078,31.765,20.784,31.0,1.0,13.691
1127.25,0.0,21.176,50.196,39.0,-9.375,-5.469,,16.078,31.765,20.784,31.0,1.0,13.691
1100.75,0.0,20.784,48.627,40.0,-9.375,-8.594,,16.078,31.765,20.784,31.0,1.5,13.71
1100.75,0.0,20.784,48.627,40.0,-9.375,-8.594,,16.078,31.765,20.784,31.0,1.5,13.71
1100.75,0.0,20.784,48.627,40.0,-9.375,-8.594,,16.078,31.765,20.784,31.0,1.5,13.71
1046.75,0.0,20.784,49.412,41.0,-9.375,-3.906,,16.078,31.765,20.784,31.0,0.5,13.71
1046.75,0.0,20.784,49.412,41.0,-9.375,-3.906,,16.078,31.765,20.784,31.0,0.5,13.71
1046.75,0.0,20.784,49.412,41.0,-9.375,-3.906,,16.078,31.765,20.784,31.0,0.5,13.71
1039.75,0.0,20.784,49.804,41.0,-9.375,-4.688,,16.078,31.765,20.784,31.0,0.5,13.71
1039.75,0.0,20.784,49.804,41.0,-9.375,-4.688,,16.078,31.765,20.784,31.0,0.5,13.71
1039.75,0.0,20.784,49.804,41.0,-9.375,-4.688,,16.078,31.765,20.784,31.0,0.5,13.71
1013.25,0.0,20.784,49.804,42.0,-9.375,-3.906,,16.078,31.765,20.784,31.0,0.5,13.71
1013.25,0.0,20.784,49.804,42.0,-9.375,-3.906,,16.078,31.765,20.784,31.0,0.5,13.71
1013.25,0.0,20.784,49.804,42.0,-9.375,-3.906,,16.078,31.765,20.784,31.0,0.5,13.71
1001.5,0.0,20.784,49.804,43.0,-9.375,-3.906,,16.078,31.765,20.784,31.0,0.5,13.71
1001.5,0.0,20.784,49.804,43.0,-9.375,-3.906,,16.078,31.765,20.784,31.0,0.5,13.71
1001.5,0.0,20.784,49.804,43.0,-9.375,-3.906,,16.078,31.765,20.784,31.0,0.5,13.71
1015.5,0.0,20.784,50.196,43.0,-9.375,-4.688,,16.078,31.765,20.784,31.0,1.5,13.71
